Freq.	V(n008)
5.37031796370250e+002	(-5.97424921723471e+000dB,1.72217804022105e+002°)
5.49540873857622e+002	(-6.03893495502405e+000dB,1.72626632125609e+002°)
5.62341325190346e+002	(-6.09984989339848e+000dB,1.73064230847945e+002°)
5.75439937337154e+002	(-6.15663441237983e+000dB,1.73528956660737e+002°)
5.88843655355586e+002	(-6.20894534508567e+000dB,1.74018928891190e+002°)
6.02559586074355e+002	(-6.25646039965537e+000dB,1.74532035637006e+002°)
6.16595001861479e+002	(-6.29888259213953e+000dB,1.75065944017030e+002°)
6.30957344480190e+002	(-6.33594457528686e+000dB,1.75618114906725e+002°)
6.45654229034652e+002	(-6.36741274008415e+000dB,1.76185822154096e+002°)
6.60693448007592e+002	(-6.39309096419294e+000dB,1.76766176101474e+002°)
6.76082975391978e+002	(-6.41282388488177e+000dB,1.77356151060828e+002°)
6.91830970918933e+002	(-6.42649958407519e+000dB,1.77952616215990e+002°)
7.07945784384134e+002	(-6.43405158960412e+000dB,1.78552369266215e+002°)
7.24435960074986e+002	(-6.43546011899896e+000dB,1.79152171993377e+002°)
7.41310241300914e+002	(-6.43075251903461e+000dB,1.79748786839908e+002°)
7.58577575029180e+002	(-6.42000288410087e+000dB,-1.79660986466138e+002°)
7.76247116628688e+002	(-6.40333086743183e+000dB,-1.79080275204742e+002°)
7.94328234724277e+002	(-6.38089972926933e+000dB,-1.78512099795636e+002°)
8.12830516164095e+002	(-6.35291369323803e+000dB,-1.77959342595980e+002°)
8.31763771102666e+002	(-6.31961470492792e+000dB,-1.77424720062730e+002°)
8.51138038202372e+002	(-6.28127870369278e+000dB,-1.76910758821459e+002°)
8.70963589956076e+002	(-6.23821152927214e+000dB,-1.76419776010046e+002°)
8.91250938133741e+002	(-6.19074458888051e+000dB,-1.75953864087875e+002°)
9.12010839355905e+002	(-6.13923040820589e+000dB,-1.75514880129900e+002°)
9.33254300796986e+002	(-6.08403818212369e+000dB,-1.75104439469842e+002°)
9.54992586021431e+002	(-6.02554942890337e+000dB,-1.74723913424763e+002°)
9.77237220955805e+002	(-5.96415383652876e+000dB,-1.74374430729048e+002°)
9.99999999999994e+002	(-5.90024537273739e+000dB,-1.74056882231257e+002°)
1.02329299228075e+003	(-5.83421871270969e+000dB,-1.73771928362053e+002°)
1.04712854805089e+003	(-5.76646602105599e+000dB,-1.73520008863234e+002°)
1.07151930523760e+003	(-5.69737410868367e+000dB,-1.73301354273082e+002°)
1.09647819614318e+003	(-5.62732197087389e+000dB,-1.73115998687588e+002°)
1.12201845430196e+003	(-5.55667870083266e+000dB,-1.72963793355639e+002°)
1.14815362149688e+003	(-5.48580176325629e+000dB,-1.72844420714671e+002°)
1.17489755493952e+003	(-5.41503560505839e+000dB,-1.72757408527091e+002°)
1.20226443461741e+003	(-5.34471057521448e+000dB,-1.72702143833679e+002°)
1.23026877081237e+003	(-5.27514212243961e+000dB,-1.72677886495047e+002°)
1.25892541179416e+003	(-5.20663023786749e+000dB,-1.72683782144123e+002°)
1.28824955169313e+003	(-5.13945910971957e+000dB,-1.72718874419822e+002°)
1.31825673855640e+003	(-5.07389695785822e+000dB,-1.72782116393900e+002°)
1.34896288259165e+003	(-5.01019601781486e+000dB,-1.72872381138821e+002°)
1.38038426460288e+003	(-4.94859264612937e+000dB,-1.72988471414464e+002°)
1.41253754462275e+003	(-4.88930752142268e+000dB,-1.73129128475797e+002°)
1.44543977074592e+003	(-4.83254591836238e+000dB,-1.73293040022691e+002°)
1.47910838816820e+003	(-4.77849803445327e+000dB,-1.73478847327565e+002°)
1.51356124843620e+003	(-4.72733935227020e+000dB,-1.73685151586883e+002°)
1.54881661891247e+003	(-4.67923102228880e+000dB,-1.73910519549580e+002°)
1.58489319246110e+003	(-4.63432025380523e+000dB,-1.74153488479723e+002°)
1.62181009735892e+003	(-4.59274070354459e+000dB,-1.74412570512656e+002°)
1.65958690743755e+003	(-4.55461285342236e+000dB,-1.74686256464193e+002°)
1.69824365246173e+003	(-4.52004437055225e+000dB,-1.74973019151393e+002°)
1.73780082874936e+003	(-4.48913044398530e+000dB,-1.75271316281503e+002°)
1.77827941003891e+003	(-4.46195409384207e+000dB,-1.75579592963223e+002°)
1.81970085860997e+003	(-4.43858644947896e+000dB,-1.75896283891554e+002°)
1.86208713666286e+003	(-4.41908699412879e+000dB,-1.76219815254632e+002°)
1.90546071796323e+003	(-4.40350377410101e+000dB,-1.76548606408055e+002°)
1.94984459975803e+003	(-4.39187357113923e+000dB,-1.76881071359568e+002°)
1.99526231496887e+003	(-4.38422203693280e+000dB,-1.77215620104623e+002°)
2.04173794466952e+003	(-4.38056378909192e+000dB,-1.77550659851344e+002°)
2.08929613085403e+003	(-4.38090246813613e+000dB,-1.77884596171909e+002°)
2.13796208950222e+003	(-4.38523075523829e+000dB,-1.78215834116289e+002°)
2.18776162394954e+003	(-4.39353035062773e+000dB,-1.78542779323744e+002°)
2.23872113856832e+003	(-4.40577191271158e+000dB,-1.78863839167410e+002°)
2.29086765276776e+003	(-4.42191495812637e+000dB,-1.79177423967827e+002°)
2.34422881531991e+003	(-4.44190772312297e+000dB,-1.79481948312192e+002°)
2.39883291901947e+003	(-4.46568698691767e+000dB,-1.79775832517619e+002°)
2.45470891568501e+003	(-4.49317785793991e+000dB,1.79942495721412e+002°)
2.51188643150956e+003	(-4.52429352429155e+000dB,1.79674599458959e+002°)
2.57039578276885e+003	(-4.55893497022389e+000dB,1.79422030351751e+002°)
2.63026799189536e+003	(-4.59699066105823e+000dB,1.79186326193642e+002°)
2.69153480392690e+003	(-4.63833619975131e+000dB,1.78969008079508e+002°)
2.75422870333815e+003	(-4.68283395924979e+000dB,1.78771577144884e+002°)
2.81838293126443e+003	(-4.73033269592071e+000dB,1.78595510825029e+002°)
2.88403150312659e+003	(-4.78066715070257e+000dB,1.78442258575113e+002°)
2.95120922666636e+003	(-4.83365764620358e+000dB,1.78313236991958e+002°)
3.01995172040199e+003	(-4.88910968980294e+000dB,1.78209824277839e+002°)
3.09029543251357e+003	(-4.94681359487468e+000dB,1.78133353988463e+002°)
3.16227766016836e+003	(-5.00654413455441e+000dB,1.78085108011062e+002°)
3.23593656929626e+003	(-5.06806024497241e+000dB,1.78066308725010e+002°)
3.31131121482589e+003	(-5.13110479754487e+000dB,1.78078110307164e+002°)
3.38844156139200e+003	(-5.19540446267250e+000dB,1.78121589157825e+002°)
3.46736850452529e+003	(-5.26066968995231e+000dB,1.78197733441439e+002°)
3.54813389233573e+003	(-5.32659483262819e+000dB,1.78307431759561e+002°)
3.63078054770099e+003	(-5.39285844631908e+000dB,1.78451461002517e+002°)
3.71535229097170e+003	(-5.45912379387539e+000dB,1.78630473461073e+002°)
3.80189396320558e+003	(-5.52503958926652e+000dB,1.78844983320183e+002°)
3.89045144994278e+003	(-5.59024101343117e+000dB,1.79095352703206e+002°)
3.98107170553494e+003	(-5.65435103372749e+000dB,1.79381777486100e+002°)
4.07380277804110e+003	(-5.71698205568986e+000dB,1.79704273155600e+002°)
4.16869383470332e+003	(-5.77773793096000e+000dB,-1.79937338958828e+002°)
4.26579518801589e+003	(-5.83621633825683e+000dB,-1.79543444695038e+002°)
4.36515832240162e+003	(-5.89201154493235e+000dB,-1.79114648876551e+002°)
4.46683592150960e+003	(-5.94471754499396e+000dB,-1.78651785464977e+002°)
4.57088189614871e+003	(-5.99393155558274e+000dB,-1.78155925545268e+002°)
4.67735141287194e+003	(-6.03925783811431e+000dB,-1.77628382633841e+002°)
4.78630092322634e+003	(-6.08031179317376e+000dB,-1.77070714813530e+002°)
4.89778819368442e+003	(-6.11672426059561e+000dB,-1.76484723239840e+002°)
5.01187233627268e+003	(-6.14814593896464e+000dB,-1.75872446632429e+002°)
5.12861383991361e+003	(-6.17425182322759e+000dB,-1.75236151464998e+002°)
5.24807460249768e+003	(-6.19474554647107e+000dB,-1.74578317694239e+002°)
5.37031796370248e+003	(-6.20936350346634e+000dB,-1.73901620020046e+002°)
5.49540873857620e+003	(-6.21787863040559e+000dB,-1.73208904838242e+002°)
5.62341325190344e+003	(-6.22010371819780e+000dB,-1.72503163224407e+002°)
5.75439937337152e+003	(-6.21589414617195e+000dB,-1.71787500462200e+002°)
5.88843655355584e+003	(-6.20514993899799e+000dB,-1.71065102790103e+002°)
6.02559586074353e+003	(-6.18781707144502e+000dB,-1.70339202175043e+002°)
6.16595001861477e+003	(-6.16388797213822e+000dB,-1.69613040019767e+002°)
6.30957344480188e+003	(-6.13340120715465e+000dB,-1.68889830765322e+002°)
6.45654229034650e+003	(-6.09644035523124e+000dB,-1.68172726356130e+002°)
6.60693448007590e+003	(-6.05313211654358e+000dB,-1.67464782492554e+002°)
6.76082975391976e+003	(-6.00364372450442e+000dB,-1.66768927507768e+002°)
6.91830970918931e+003	(-5.94817975316791e+000dB,-1.66087934579404e+002°)
7.07945784384132e+003	(-5.88697843033683e+000dB,-1.65424397831278e+002°)
7.24435960074984e+003	(-5.82030757761541e+000dB,-1.64780712708115e+002°)
7.41310241300911e+003	(-5.74846030322273e+000dB,-1.64159060828313e+002°)
7.58577575029177e+003	(-5.67175057168437e+000dB,-1.63561399347643e+002°)
7.76247116628685e+003	(-5.59050876730538e+000dB,-1.62989454709960e+002°)
7.94328234724275e+003	(-5.50507735663453e+000dB,-1.62444720526913e+002°)
8.12830516164092e+003	(-5.41580674019982e+000dB,-1.61928459221898e+002°)
8.31763771102664e+003	(-5.32305136690609e+000dB,-1.61441706996420e+002°)
8.51138038202369e+003	(-5.22716616684281e+000dB,-1.60985281629286e+002°)
8.70963589956073e+003	(-5.12850334091850e+000dB,-1.60559792598606e+002°)
8.91250938133738e+003	(-5.02740952956169e+000dB,-1.60165653019862e+002°)
9.12010839355902e+003	(-4.92422336832716e+000dB,-1.59803092916008e+002°)
9.33254300796983e+003	(-4.81927342600042e+000dB,-1.59472173372967e+002°)
9.54992586021428e+003	(-4.71287651088487e+000dB,-1.59172801181375e+002°)
9.77237220955802e+003	(-4.60533632338407e+000dB,-1.58904743618745e+002°)
9.99999999999991e+003	(-4.49694242762673e+000dB,-1.58667643081844e+002°)
1.02329299228075e+004	(-4.38796951149820e+000dB,-1.58461031333874e+002°)
1.04712854805089e+004	(-4.27867690276353e+000dB,-1.58284343183026e+002°)
1.07151930523760e+004	(-4.16930830868879e+000dB,-1.58136929456368e+002°)
1.09647819614318e+004	(-4.06009174738958e+000dB,-1.58018069175094e+002°)
1.12201845430195e+004	(-3.95123964077590e+000dB,-1.57926980873257e+002°)
1.14815362149687e+004	(-3.84294904116854e+000dB,-1.57862833032346e+002°)
1.17489755493952e+004	(-3.73540196622090e+000dB,-1.57824753628584e+002°)
1.20226443461740e+004	(-3.62876581951165e+000dB,-1.57811838809079e+002°)
1.23026877081237e+004	(-3.52319387694183e+000dB,-1.57823160727510e+002°)
1.25892541179416e+004	(-3.41882582176633e+000dB,-1.57857774580512e+002°)
1.28824955169312e+004	(-3.31578831364136e+000dB,-1.57914724892912e+002°)
1.31825673855640e+004	(-3.21419557942607e+000dB,-1.57993051104138e+002°)
1.34896288259164e+004	(-3.11415001560795e+000dB,-1.58091792509937e+002°)
1.38038426460287e+004	(-3.01574279411475e+000dB,-1.58209992613645e+002°)
1.41253754462274e+004	(-2.91905446493165e+000dB,-1.58346702939919e+002°)
1.44543977074591e+004	(-2.82415555036718e+000dB,-1.58500986361572e+002°)
1.47910838816819e+004	(-2.73110712702219e+000dB,-1.58671919987245e+002°)
1.51356124843619e+004	(-2.63996139252245e+000dB,-1.58858597654252e+002°)
1.54881661891247e+004	(-2.55076221491616e+000dB,-1.59060132067401e+002°)
1.58489319246110e+004	(-2.46354566330693e+000dB,-1.59275656620968e+002°)
1.62181009735891e+004	(-2.37834051883727e+000dB,-1.59504326937453e+002°)
